Point ID,Label,Annual_Precipitation,Distance_to_Nearest_Karst_Feature,Distance_to_Nearest_Water_body,Elevation_(m),Hydrualic_Head_Difference,IAS_Thickness,LULC,Overburden_Thickness,SAS_Thickness,Shear_Waves_Velocities,Slope,Surface_Geology,TPI
5389.0,1.0,1263.0,1007.118469,1098.803223,33.0,6.096000195,28.65120125,1000.0,47.02080154,18.3696003,327.0019531,0.562413037,3.0,-0.234022141
5390.0,1.0,1337.0,4307.315918,59.87593079,12.0,2.133599997,0.0,6000.0,10.1711998,10.1711998,236.6773224,0.856664538,7.0,-4.439854145
5391.0,1.0,1334.0,2977.47168,95.02967072,10.0,2.133599997,0.0,1000.0,10.60960007,10.60960007,277.9844971,0.975926697,4.0,0.769095898
5392.0,1.0,1242.0,7185.991699,95.02774048,45.0,3.352800131,29.26079941,1000.0,45.0,10.73920059,294.983429,2.550016642,3.0,-1.742347717
5393.0,1.0,1280.0,10119.36523,210.4472504,26.0,4.572000027,33.83280182,1000.0,43.37360001,7.540800095,256.5212708,0.731004596,7.0,-3.819705963
5394.0,1.0,1256.0,3795.565674,318.7908325,22.0,0.304800004,14.93519974,1000.0,37.84960175,21.9144001,322.5811768,1.195927858,7.0,5.332520008
5395.0,1.0,1295.0,7617.212402,120.2556305,22.0,14.93519974,13.41120052,1000.0,29.01040077,15.5991993,307.2577209,0.678220391,7.0,8.151042938
5396.0,1.0,1326.0,550.7026978,66.99993134,16.0,3.048000097,0.0,1000.0,16.30480003,14.30480003,237.4748688,0.274178654,7.0,2.584114552
5397.0,1.0,1295.0,7418.941895,119.7464828,20.0,4.572000027,0.0,1000.0,18.1711998,18.1711998,223.6738892,0.177650079,7.0,0.612931252
5398.0,1.0,1269.0,15097.41895,419.1091309,46.0,2.133599997,35.05200195,1000.0,41.12319946,6.071201324,524.8277588,1.867926121,3.0,-4.857219696
5399.0,1.0,1277.0,11281.35352,216.4966583,42.0,3.657599926,34.44240189,1000.0,40.47600174,6.033599854,271.8375244,0.544974625,3.0,-2.834632874
